eventnumber,PID,time,x,y,z,r,material,energydeposition,pedetected,detectionefficiency,quantumefficiency,InnerSlice0,InnerSlice1,InnerSlice2,InnerSlice3,InnerSlice4,InnerSlice5,InnerSlice6,InnerSlice7,InnerSlice8,InnerSlice9,InnerSlice10,InnerSlice11,OuterSlice0,OuterSlice1,OuterSlice2,OuterSlice3,OuterSlice4,OuterSlice5,OuterSlice6,OuterSlice7,OuterSlice8,OuterSlice9,OuterSlice10,OuterSlice11,OuterSlice12,OuterSlice13,OuterSlice14,OuterSlice15,OuterSlice16,OuterSlice17,OuterSlice18,OuterSlice19,
49232,11,25.4722982397828,236.183986850393,644.330441160225,546.724250201876,686.254029532998,ArgonLiquid,9.91844429832145,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.2411399527105,224.868986069404,576.002032460662,549.020929045742,618.340037758105,ArgonLiquid,2.42964796096655,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.1915495784963,226.042683864543,563.019146029376,541.873515717112,606.700794234138,ArgonLiquid,1.92229147002272,0,0.000656,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.0232114920242,217.228652898574,533.88311611343,501.599472599594,576.384827447006,ArgonLiquid,28.2076311932075,0,0.000656,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.9315645766816,196.382483044819,533.386448261941,519.527978676742,568.389991850962,ArgonLiquid,46.7842535620782,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.8134618993959,187.4482382397,509.037269440568,495.365961743491,542.453485285768,ArgonLiquid,70.5993028327098,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.4654799634678,159.474346662958,580.133952529933,424.368667579434,601.653945488252,ArgonLiquid,9.188399016758,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.426205000221,158.384770392581,584.843304780453,413.595247796835,605.910411396629,ArgonLiquid,54.6849736621871,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.3549133438822,164.865100218774,604.129846310377,406.962148717561,626.221504320273,ArgonLiquid,71.818523868118,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.2761533722009,168.586514997875,612.965604399241,384.836875050421,635.726549088251,ArgonLiquid,330.006048814064,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.2763023654222,168.577849265323,612.956986413541,384.819778309877,635.715941640677,ArgonLiquid,68.1061279220924,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,23.9232175833339,271.528783881537,636.532703176935,380.596888693445,692.027284642681,ArgonLiquid,15.6219685374387,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.1470114620556,199.161067327588,143.860194649544,56.1728164638509,245.684526056626,GermaniumEnriched,11.103,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.1514951500486,199.197184313221,144.484047904538,54.6180070110282,246.07957724524,GermaniumEnriched,11.103,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.3111458985669,184.580355887994,129.676993218524,58.3868472233375,225.579321636394,GermaniumEnriched,11.103,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.3111476230514,184.580370703439,129.676913782301,58.3868590880678,225.579288094278,GermaniumEnriched,6.49875207235784,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1515087694492,199.197625027787,144.484519460604,54.6166538600344,246.080210867255,GermaniumEnriched,38.3774733980458,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1470166912904,199.160735617203,143.860199396054,56.1725944426759,245.68425993917,GermaniumEnriched,17.4182171678781,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,28.4799695130571,-284.560555604797,629.08032542302,-128.972989986635,690.446786972351,ArgonLiquid,0,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,28.5392184080769,-301.949250986394,631.527236015008,-131.646518739261,700,ArgonLiquid,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,28.4833791062334,-283.826992008311,628.650497248987,-128.579979083192,689.753005853461,ArgonLiquid,340.179592663569,3,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,28.485039320002,-283.87429250696,628.409822854593,-128.242699297528,689.553130227446,ArgonLiquid,370.059346446146,3,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,28.4851522882978,-283.865078764691,628.416843250101,-128.23385027989,689.555735109575,ArgonLiquid,55.1269537345393,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,22,22.1531059722161,-382.722059443771,572.949178922381,788.12939544191,689.018821522831,ArgonLiquid,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,22,22.2123216672167,-391.505541624094,580.278735503572,774.554550587771,700,ArgonLiquid,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,11,22.1531744797561,-382.718999482414,572.943213154959,788.132689615673,689.012161043002,ArgonLiquid,37.5772003906811,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,22,22.1673790594681,-335.316748442401,598.394185031158,827.279448153305,685.939445188195,ArgonLiquid,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,22,22.4922606545563,-281.548184674211,566.149656313511,752.744774029631,632.293297162994,ArgonLiquid,0,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,22,22.4951357293162,-280.856155621954,565.700692173595,752.994659912718,631.583290846447,ArgonLiquid,3.2063,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13545,11,22.4953700647796,-280.844141838883,565.664720310291,752.995309922015,631.545728992714,ArgonLiquid,96.0980072890333,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
